condition,location_Downtown,location_Mountain,location_Rural,location_Suburb,location_Urban,location_Waterfront,price,sqft,bedrooms,bathrooms,house_age
3.0,1.0,0.0,0.0,0.0,0.0,0.0,695000.0,2550.0,3.0,2.5,34.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,264000.0,1440.0,2.0,1.0,75.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1170000.0,3150.0,4.0,3.5,21.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,380000.0,1650.0,2.0,1.5,61.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,748000.0,2680.0,3.0,2.5,29.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,495000.0,1527.0,2.0,1.5,70.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,425000.0,1720.0,2.0,2.0,56.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,545000.0,2120.0,3.0,2.5,29.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,261000.0,1450.0,2.0,1.0,76.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,582000.0,2200.0,3.0,2.0,41.0
3.0,0.0,1.0,0.0,0.0,0.0,0.0,982000.0,2980.0,4.0,3.0,16.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,682000.0,2420.0,3.0,2.5,36.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1280000.0,3280.0,4.0,3.5,14.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,730000.0,2620.0,3.0,2.5,32.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,258000.0,1420.0,2.0,1.0,76.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,325000.0,1720.0,2.0,1.5,64.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,592000.0,2220.0,3.0,2.0,41.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,529000.0,2100.0,3.0,2.5,34.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1340000.0,3420.0,4.0,4.0,12.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,530000.0,2080.0,3.0,2.0,35.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,279000.0,1480.0,2.0,1.0,73.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,535000.0,2080.0,3.0,2.5,31.0
3.0,1.0,0.0,0.0,0.0,0.0,0.0,752000.0,2526.0,3.0,2.5,28.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,302000.0,1680.0,2.0,1.5,66.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,552000.0,2150.0,3.0,2.0,44.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,319000.0,1622.0,2.0,1.5,51.0
3.0,0.0,0.0,0.0,0.0,0.0,1.0,1380000.0,3480.0,4.0,4.0,11.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,372000.0,1640.0,2.0,1.5,63.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,510000.0,1980.0,3.0,2.0,42.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,375000.0,1620.0,2.0,1.5,64.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,368000.0,1620.0,2.0,1.5,64.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,575000.0,2150.0,3.0,2.0,43.0
2.0,0.0,0.0,0.0,0.0,1.0,0.0,482000.0,1925.0,3.0,2.0,47.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,620000.0,2280.0,3.0,2.0,38.0
